name,tags,score
Pizza,Italian;Fast Food;Main,0
Burger,American;Fast Food;Main,0
Sushi,Japanese;Seafood;Main,0
Tacos,Mexican;Street Food;Main,0
Pasta,Italian;Main,0
Ramen,Japanese;Noodles;Main,0
Pad Thai,Thai;Noodles;Main,0
Burrito,Mexican;Street Food;Main,0
Fried Chicken,American;Fast Food;Main,0
Steak,American;Grill;Main,0
Fish and Chips,British;Seafood;Main,0
Curry,Indian;Main,0
Falafel,Middle Eastern;Vegetarian;Snack,0
Hummus,Middle Eastern;Vegetarian;Appetizer,0
Pho,Vietnamese;Soup;Main,0
Dim Sum,Chinese;Appetizer;Main,0
Dumplings,Chinese;Appetizer;Main,0
Burger,American;Fast Food;Main,0
Nachos,Mexican;Snack;Appetizer,0
Quesadilla,Mexican;Snack;Appetizer,0
Enchiladas,Mexican;Main;Cheese,0
Lasagna,Italian;Main;Cheese,0
Risotto,Italian;Main;Rice,0
Paella,Spanish;Seafood;Rice,0
Guacamole,Mexican;Vegetarian;Appetizer,0
Bruschetta,Italian;Appetizer;Vegetarian,0
Ceviche,Peruvian;Seafood;Appetizer,0
Gyoza,Japanese;Appetizer;Main,0
Sashimi,Japanese;Seafood;Appetizer,0
Tempura,Japanese;Appetizer;Seafood,0
Kebabs,Middle Eastern;Grill;Main,0
Shawarma,Middle Eastern;Street Food;Main,0
Gyro,Greek;Street Food;Main,0
Moussaka,Greek;Main;Casserole,0
Spanakopita,Greek;Vegetarian;Appetizer,0
Baklava,Middle Eastern;Dessert;Pastry,0
Tiramisu,Italian;Dessert;Coffee,0
Gelato,Italian;Dessert;Ice Cream,0
Cheesecake,American;Dessert;Cheese,0
Crème Brûlée,French;Dessert;Custard,0
Macarons,French;Dessert;Pastry,0
Croissant,French;Breakfast;Pastry,0
Baguette,French;Bread;Side,0
Escargot,French;Appetizer;Seafood,0
Bouillabaisse,French;Seafood;Soup,0
Coq au Vin,French;Main;Poultry,0
Ratatouille,French;Vegetarian;Main,0
Quiche Lorraine,French;Breakfast;Savory,0
Crepes,French;Dessert;Breakfast,0
Poutine,Canadian;Comfort Food;Main,0
Maple Syrup,Canadian;Breakfast;Condiment,0
Beavertails,Canadian;Dessert;Pastry,0
Pierogi,Polish;Appetizer;Main,0
Borscht,Polish;Soup;Vegetarian,0
Sauerbraten,German;Main;Beef,0
Bratwurst,German;Sausage;Main,0
Pretzel,German;Snack;Bread,0
Wiener Schnitzel,Austrian;Main;Pork,0
Goulash,Hungarian;Soup;Stew,0
Pierogi,Polish;Appetizer;Main,0
Chicken Tikka Masala,Indian;Curry;Main,0
Butter Chicken,Indian;Curry;Main,0
Biryani,Indian;Rice;Main,0
Naan,Indian;Bread;Side,0
Samosa,Indian;Appetizer;Vegetarian,0
Dal,Indian;Vegetarian;Main,0
Masala Dosa,Indian;Breakfast;Vegetarian,0
Chaat,Indian;Street Food;Snack,0
Vindaloo,Indian;Curry;Spicy,0
Jollof Rice,West African;Rice;Main,0
Egusi Soup,West African;Soup;Main,0
Fufu,West African;Side;Starch,0
