name,tags,score
The Shawshank Redemption,Drama;Crime,0
The Godfather,Crime;Drama,0
The Dark Knight,Action;Crime;Drama,0
The Godfather Part II,Crime;Drama,0
12 Angry Men,Drama;Crime,0
Schindler's List,Biography;Drama;History,0
The Lord of the Rings: The Return of the King,Adventure;Drama;Fantasy,0
Pulp Fiction,Crime;Drama,0
The Lord of the Rings: The Fellowship of the Ring,Adventure;Drama;Fantasy,0
The Good, the Bad and the Ugly,Western,0
Forrest Gump,Drama;Romance,0
Fight Club,Drama,0
Inception,Action;Adventure;Sci-Fi,0
The Lord of the Rings: The Two Towers,Adventure;Drama;Fantasy,0
Star Wars: Episode V – The Empire Strikes Back,Action;Adventure;Fantasy,0
The Matrix,Action;Sci-Fi,0
Goodfellas,Biography;Crime;Drama,0
One Flew Over the Cuckoo’s Nest,Drama,0
Seven Samurai,Action;Adventure;Drama,0
Se7en,Crime;Drama;Mystery,0
City of God,Crime;Drama,0
The Silence of the Lambs,Crime;Drama;Thriller,0
It’s a Wonderful Life,Drama;Family;Fantasy,0
Life Is Beautiful,Comedy;Drama;Romance,0
Saving Private Ryan,Drama;War,0
Spirited Away,Animation;Adventure;Family,0
The Green Mile,Crime;Drama;Fantasy,0
Interstellar,Adventure;Drama;Sci-Fi,0
Parasite,Comedy;Drama;Thriller,0
Léon: The Professional,Action;Crime;Drama,0
Harakiri,Action;Drama;History,0
The Lion King,Animation;Adventure;Drama,0
Gladiator,Action;Adventure;Drama,0
Whiplash,Drama;Music,0
The Prestige,Drama;Mystery;Sci-Fi,0
The Departed,Crime;Drama;Thriller,0
The Pianist,Biography;Drama;Music,0
Terminator 2: Judgment Day,Action;Sci-Fi,0
Back to the Future,Adventure;Comedy;Sci-Fi,0
American History X,Crime;Drama,0
Modern Times,Comedy;Drama;Romance,0
Psycho,Horror;Mystery;Thriller,0
The Intouchables,Biography;Comedy;Drama,0
The Lord of the Rings,Adventure;Drama;Fantasy,0
Once Upon a Time in the West,Western,0
Raiders of the Lost Ark,Action;Adventure,0
Rear Window,Mystery;Thriller,0
Casablanca,Drama;Romance;War,0
The Usual Suspects,Crime;Drama;Mystery,0
Rear Window,Mystery;Thriller,0
Cinema Paradiso,Drama,0
The Lives of Others,Drama;Thriller,0
Grave of the Fireflies,Animation;Drama;War,0
